width,height,init,solving,Algorithm
2,2,0.003955364227294922,0.003056764602661133,Brute-force
2,2,0.003991127014160156,0.003043651580810547,Brute-force
2,2,0.004066944122314453,0.003017425537109375,Brute-force
2,2,0.0039825439453125,0.0030584335327148438,Brute-force
2,2,0.003911256790161133,0.0030591487884521484,Brute-force
2,2,0.003988027572631836,0.003056764602661133,Brute-force
2,2,0.00394749641418457,0.0030939579010009766,Brute-force
2,2,0.003890514373779297,0.002999544143676758,Brute-force
2,2,0.004026174545288086,0.0030608177185058594,Brute-force
2,2,0.003956794738769531,0.0030548572540283203,Brute-force
2,2,0.006219148635864258,0.0032186508178710938,Polynomial
2,2,0.006224632263183594,0.0032715797424316406,Polynomial
2,2,0.006193399429321289,0.003190279006958008,Polynomial
2,2,0.006185770034790039,0.0031900405883789062,Polynomial
2,2,0.006083488464355469,0.003193378448486328,Polynomial
2,2,0.006123542785644531,0.003252267837524414,Polynomial
2,2,0.005919933319091797,0.003206014633178711,Polynomial
2,2,0.006154060363769531,0.003194093704223633,Polynomial
2,2,0.006106853485107422,0.003233194351196289,Polynomial
2,2,0.0061283111572265625,0.00316619873046875,Polynomial
3,3,0.004776477813720703,0.003274202346801758,Brute-force
3,3,0.005293130874633789,0.003094911575317383,Brute-force
3,3,0.004736423492431641,0.0031647682189941406,Brute-force
3,3,0.005278348922729492,0.003241300582885742,Brute-force
3,3,0.004853248596191406,0.003109455108642578,Brute-force
3,3,0.004721403121948242,0.003156423568725586,Brute-force
3,3,0.004139900207519531,0.0031349658966064453,Brute-force
3,3,0.004712581634521484,0.0031981468200683594,Brute-force
3,3,0.00472259521484375,0.0030469894409179688,Brute-force
3,3,0.004990339279174805,0.0031256675720214844,Brute-force
3,3,0.009896278381347656,0.003458738327026367,Polynomial
3,3,0.009723186492919922,0.0034232139587402344,Polynomial
3,3,0.009674549102783203,0.003388643264770508,Polynomial
3,3,0.009868860244750977,0.003473997116088867,Polynomial
3,3,0.009682178497314453,0.0034332275390625,Polynomial
3,3,0.009733438491821289,0.0034494400024414062,Polynomial
3,3,0.00947117805480957,0.0034172534942626953,Polynomial
3,3,0.009679794311523438,0.0034780502319335938,Polynomial
3,3,0.009426593780517578,0.003366231918334961,Polynomial
3,3,0.010160684585571289,0.003496885299682617,Polynomial
4,4,0.00530552864074707,0.0031447410583496094,Brute-force
4,4,0.006438255310058594,0.003186941146850586,Brute-force
4,4,0.006522655487060547,0.0032918453216552734,Brute-force
4,4,0.006030082702636719,0.0031766891479492188,Brute-force
4,4,0.0063326358795166016,0.003149271011352539,Brute-force
4,4,0.005659341812133789,0.0031991004943847656,Brute-force
4,4,0.004932880401611328,0.0030863285064697266,Brute-force
4,4,0.006079196929931641,0.0031599998474121094,Brute-force
4,4,0.0068857669830322266,0.003283262252807617,Brute-force
4,4,0.006424665451049805,0.003250598907470703,Brute-force
4,4,0.015392303466796875,0.004730224609375,Polynomial
4,4,0.016414880752563477,0.003943443298339844,Polynomial
4,4,0.015926599502563477,0.003814697265625,Polynomial
4,4,0.01563286781311035,0.0038836002349853516,Polynomial
4,4,0.01708698272705078,0.003887176513671875,Polynomial
4,4,0.0162508487701416,0.003829479217529297,Polynomial
4,4,0.01550602912902832,0.0037384033203125,Polynomial
4,4,0.016184568405151367,0.0037860870361328125,Polynomial
4,4,0.015156030654907227,0.0037713050842285156,Polynomial
4,4,0.015095949172973633,0.003718137741088867,Polynomial
5,5,0.00902867317199707,0.003236532211303711,Brute-force
5,5,0.009599924087524414,0.0033032894134521484,Brute-force
5,5,0.010593652725219727,0.0033111572265625,Brute-force
5,5,0.00835561752319336,0.003275156021118164,Brute-force
5,5,0.007999658584594727,0.0032286643981933594,Brute-force
5,5,0.007829904556274414,0.003156423568725586,Brute-force
5,5,0.009137153625488281,0.0031747817993164062,Brute-force
5,5,0.009443044662475586,0.003283977508544922,Brute-force
5,5,0.009612798690795898,0.0034737586975097656,Brute-force
5,5,0.009560585021972656,0.003424406051635742,Brute-force
5,5,0.025269269943237305,0.004144430160522461,Polynomial
5,5,0.025810718536376953,0.00438237190246582,Polynomial
5,5,0.024718523025512695,0.004513740539550781,Polynomial
5,5,0.022848129272460938,0.004054069519042969,Polynomial
5,5,0.025158405303955078,0.004264354705810547,Polynomial
5,5,0.025885820388793945,0.00435948371887207,Polynomial
5,5,0.025538206100463867,0.00441741943359375,Polynomial
5,5,0.023825645446777344,0.0041103363037109375,Polynomial
5,5,0.024013757705688477,0.004331827163696289,Polynomial
5,5,0.02286219596862793,0.0043048858642578125,Polynomial
6,6,0.012332916259765625,0.0032911300659179688,Brute-force
6,6,0.014119148254394531,0.003494739532470703,Brute-force
6,6,0.01477503776550293,0.0035600662231445312,Brute-force
6,6,0.014744997024536133,0.0035736560821533203,Brute-force
6,6,0.013470888137817383,0.003509044647216797,Brute-force
6,6,0.012476921081542969,0.0034546852111816406,Brute-force
6,6,0.013347148895263672,0.003585338592529297,Brute-force
6,6,0.017472028732299805,0.0035276412963867188,Brute-force
6,6,0.01680278778076172,0.0036973953247070312,Brute-force
6,6,0.016257762908935547,0.003672361373901367,Brute-force
6,6,0.03693342208862305,0.004847526550292969,Polynomial
6,6,0.03880882263183594,0.005030155181884766,Polynomial
6,6,0.03507685661315918,0.004878520965576172,Polynomial
6,6,0.03649640083312988,0.0050201416015625,Polynomial
6,6,0.03552579879760742,0.004839897155761719,Polynomial
6,6,0.037514448165893555,0.004887819290161133,Polynomial
6,6,0.03775954246520996,0.005092620849609375,Polynomial
6,6,0.03891897201538086,0.005181789398193359,Polynomial
